id,category,query1,query2,label
0,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1.0
1,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后为什么会咯血？,1.0
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，应该怎么处理？,0.0
3,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，需要就医吗？,0.0
4,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，是否很严重？,0.0
5,咳血,百令胶囊需要注意什么？,百令胶囊有什么注意事项？,1.0
6,咳血,百令胶囊需要注意什么？,服用百令胶囊有什么需要特别注意的吗？,1.0
7,咳血,百令胶囊需要注意什么？,百令胶囊如何服用？,0.0
8,咳血,百令胶囊需要注意什么？,百令胶囊效果好吗？,0.0
9,咳血,百令胶囊需要注意什么？,百令胶囊需要如何服用？,0.0
10,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少寿命？,1.0
11,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少时间？,1.0
12,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治疗吗？,0.0
13,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期该怎么办？,0.0
14,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治好吗？,0.0
15,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是怎么回事？,1.0
16,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么情况？,1.0
17,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年需要治病吗？,0.0
18,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年怎么处理？,0.0
19,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么原因导致的？,0.0
20,咳血,百令胶囊能长期服用吗?,百令胶囊是否可以长时间服用?,1.0
21,咳血,百令胶囊能长期服用吗?,百令胶囊长时间服用会有问题吗?,1.0
22,咳血,百令胶囊能长期服用吗?,百令胶囊能和其他药物一起服用吗?,0.0
23,咳血,百令胶囊能长期服用吗?,百令胶囊怎么服用?,0.0
